url, code, kiname, img, attach, Size ( Dimension), Tolerance, T.C, Voltage, Cap. Value, Packing, DC bias，AC voltage，TCC，ESR & |Z|
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BNR75AC0402CRNPO9BNR750402CGR75C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BNR75AC0402CRNPO9BNR750402CGR75C9B200,0402(1005),±0.25pF,NP0,50 V,0.75,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402DRNPO9BN100AC0402DRNPO9BN100,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402DRNPO9BN100AC0402DRNPO9BN100,0402(1005),±0.5pF,NP0,50 V,10,"7"" Paper",
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402DRNPO9BN6R8AC0402DRNPO9BN6R80402CG6R8D9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402DRNPO9BN6R8AC0402DRNPO9BN6R80402CG6R8D9B200,0402(1005),±0.5pF,NP0,50 V,6.8,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402DRNPO9BN8R0AC0402DRNPO9BN8R00402CG8R0D9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402DRNPO9BN8R0AC0402DRNPO9BN8R00402CG8R0D9B200,0402(1005),±0.5pF,NP0,50 V,8,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402FRNPO9BN100AC0402FRNPO9BN1000402CG100F9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402FRNPO9BN100AC0402FRNPO9BN1000402CG100F9B200,0402(1005),±1%,NP0,50 V,10,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402FRNPO9BN220AC0402FRNPO9BN2200402CG220F9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402FRNPO9BN220AC0402FRNPO9BN2200402CG220F9B200,0402(1005),±1%,NP0,50 V,22,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402FRNPO9BN270AC0402FRNPO9BN2700402CG270F9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402FRNPO9BN270AC0402FRNPO9BN2700402CG270F9B200,0402(1005),±1%,NP0,50 V,27,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402GRNPO9BN1010402CG101G9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402GRNPO9BN1010402CG101G9B200,0402(1005),±2%,NP0,50 V,100,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402GRNPO9BN330AC0402GRNPO9BN3300402CG330G9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402GRNPO9BN330AC0402GRNPO9BN3300402CG330G9B200,0402(1005),±2%,NP0,50 V,33,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN100AC0402JRNPO9BN1000402CG100J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN100AC0402JRNPO9BN1000402CG100J9B200,0402(1005),±5%,NP0,50 V,10,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN101AC0402JRNPO9BN1010402CG101J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN101AC0402JRNPO9BN1010402CG101J9B200,0402(1005),±5%,NP0,50 V,100,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN120AC0402JRNPO9BN1200402CG120J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN120AC0402JRNPO9BN1200402CG120J9B200,0402(1005),±5%,NP0,50 V,12,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN121AC0402JRNPO9BN1210402CG121J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN121AC0402JRNPO9BN1210402CG121J9B200,0402(1005),±5%,NP0,50 V,120,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN130AC0402JRNPO9BN1300402CG130J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN130AC0402JRNPO9BN1300402CG130J9B200,0402(1005),±5%,NP0,50 V,13,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN150AC0402JRNPO9BN1500402CG150J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN150AC0402JRNPO9BN1500402CG150J9B200,0402(1005),±5%,NP0,50 V,15,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN151AC0402JRNPO9BN1510402CG151J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN151AC0402JRNPO9BN1510402CG151J9B200,0402(1005),±5%,NP0,50 V,150,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN180AC0402JRNPO9BN1800402CG180J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN180AC0402JRNPO9BN1800402CG180J9B200,0402(1005),±5%,NP0,50 V,18,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN181AC0402JRNPO9BN1810402CG181J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN181AC0402JRNPO9BN1810402CG181J9B200,0402(1005),±5%,NP0,50 V,180,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN200AC0402JRNPO9BN2000402CG200J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN200AC0402JRNPO9BN2000402CG200J9B200,0402(1005),±5%,NP0,50 V,20,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN220AC0402JRNPO9BN2200402CG220J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN220AC0402JRNPO9BN2200402CG220J9B200,0402(1005),±5%,NP0,50 V,22,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN221AC0402JRNPO9BN2210402CG221J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN221AC0402JRNPO9BN2210402CG221J9B200,0402(1005),±5%,NP0,50 V,220,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN270AC0402JRNPO9BN2700402CG270J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN270AC0402JRNPO9BN2700402CG270J9B200,0402(1005),±5%,NP0,50 V,27,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN271AC0402JRNPO9BN271,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN271AC0402JRNPO9BN271,0402(1005),±5%,NP0,50 V,270,"7"" Paper",
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN300AC0402JRNPO9BN3000402CG300J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN300AC0402JRNPO9BN3000402CG300J9B200,0402(1005),±5%,NP0,50 V,30,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN330AC0402JRNPO9BN3300402CG330J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN330AC0402JRNPO9BN3300402CG330J9B200,0402(1005),±5%,NP0,50 V,33,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN360AC0402JRNPO9BN3600402CG360J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN360AC0402JRNPO9BN3600402CG360J9B200,0402(1005),±5%,NP0,50 V,36,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN390AC0402JRNPO9BN3900402CG390J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN390AC0402JRNPO9BN3900402CG390J9B200,0402(1005),±5%,NP0,50 V,39,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN470AC0402JRNPO9BN4700402CG470J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN470AC0402JRNPO9BN4700402CG470J9B200,0402(1005),±5%,NP0,50 V,47,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN510AC0402JRNPO9BN5100402CG510J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN510AC0402JRNPO9BN5100402CG510J9B200,0402(1005),±5%,NP0,50 V,51,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN560AC0402JRNPO9BN5600402CG560J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN560AC0402JRNPO9BN5600402CG560J9B200,0402(1005),±5%,NP0,50 V,56,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN680AC0402JRNPO9BN6800402CG680J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN680AC0402JRNPO9BN6800402CG680J9B200,0402(1005),±5%,NP0,50 V,68,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRNPO9BN820AC0402JRNPO9BN8200402CG820J9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRNPO9BN820AC0402JRNPO9BN8200402CG820J9B200,0402(1005),±5%,NP0,50 V,82,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRX7R7BB223AC0402JRX7R7BB22304022R223J7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRX7R7BB223AC0402JRX7R7BB22304022R223J7B20D,0402(1005),±5%,X7R,16 V,22 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRX7R9BB331AC0402JRX7R9BB33104022R331J9B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRX7R9BB331AC0402JRX7R9BB33104022R331J9B20D,0402(1005),±5%,X7R,50 V,330,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402JRX7R9BB471AC0402JRX7R9BB47104022R471J9B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402JRX7R9BB471AC0402JRX7R9BB47104022R471J9B20D,0402(1005),±5%,X7R,50 V,470,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R6BB104AC0402KRX7R6BB10404022R104K6B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R6BB104AC0402KRX7R6BB10404022R104K6B20D,0402(1005),±10%,X7R,10 V,100 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB102AC0402KRX7R7BB10204022R102K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB102AC0402KRX7R7BB10204022R102K7B20D,0402(1005),±10%,X7R,16 V,1 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB103AC0402KRX7R7BB10304022R103K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB103AC0402KRX7R7BB10304022R103K7B20D,0402(1005),±10%,X7R,16 V,10 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB104AC0402KRX7R7BB10404022R104K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB104AC0402KRX7R7BB10404022R104K7B20D,0402(1005),±10%,X7R,16 V,100 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB221AC0402KRX7R7BB22104022R221K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB221AC0402KRX7R7BB22104022R221K7B20D,0402(1005),±10%,X7R,16 V,220,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB222AC0402KRX7R7BB22204022R222K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB222AC0402KRX7R7BB22204022R222K7B20D,0402(1005),±10%,X7R,16 V,2 200,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB223AC0402KRX7R7BB22304022R223K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB223AC0402KRX7R7BB22304022R223K7B20D,0402(1005),±10%,X7R,16 V,22 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB332AC0402KRX7R7BB33204022R332K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB332AC0402KRX7R7BB33204022R332K7B20D,0402(1005),±10%,X7R,16 V,3 300,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB333AC0402KRX7R7BB33304022R333K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB333AC0402KRX7R7BB33304022R333K7B20D,0402(1005),±10%,X7R,16 V,33 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB472AC0402KRX7R7BB47204022R472K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB472AC0402KRX7R7BB47204022R472K7B20D,0402(1005),±10%,X7R,16 V,4 700,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB473AC0402KRX7R7BB47304022R473K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB473AC0402KRX7R7BB47304022R473K7B20D,0402(1005),±10%,X7R,16 V,47 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R7BB683AC0402KRX7R7BB68304022R683K7B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R7BB683AC0402KRX7R7BB68304022R683K7B20D,0402(1005),±10%,X7R,16 V,68 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R8BB102AC0402KRX7R8BB10204022R102K8B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R8BB102AC0402KRX7R8BB10204022R102K8B20D,0402(1005),±10%,X7R,25 V,1 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R8BB103AC0402KRX7R8BB10304022R103K8B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R8BB103AC0402KRX7R8BB10304022R103K8B20D,0402(1005),±10%,X7R,25 V,10 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R8BB153AC0402KRX7R8BB15304022R153K8B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R8BB153AC0402KRX7R8BB15304022R153K8B20D,0402(1005),±10%,X7R,25 V,15 000,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402KRX7R8BB182AC0402KRX7R8BB18204022R182K8B20D,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402KRX7R8BB182AC0402KRX7R8BB18204022R182K8B20D,0402(1005),±10%,X7R,25 V,1 800,7" Paper,
